month,bicycle_type,demand_multiplier
1,herrenrad,1.0
1,damenrad,1.0
1,rennrad,1.0
1,mountainbike,0.8
1,e_bike,1.2
1,e_mountainbike,0.8
2,herrenrad,1.0
2,damenrad,1.0
2,rennrad,1.0
2,mountainbike,0.8
2,e_bike,1.2
2,e_mountainbike,0.8
3,herrenrad,1.1
3,damenrad,1.1
3,rennrad,1.1
3,mountainbike,0.9
3,e_bike,1.3
3,e_mountainbike,0.9
4,herrenrad,1.2
4,damenrad,1.2
4,rennrad,1.2
4,mountainbike,1.0
4,e_bike,1.4
4,e_mountainbike,1.0
5,herrenrad,1.3
5,damenrad,1.3
5,rennrad,1.3
5,mountainbike,1.5
5,e_bike,1.5
5,e_mountainbike,1.5
6,herrenrad,1.4
6,damenrad,1.4
6,rennrad,1.4
6,mountainbike,1.6
6,e_bike,1.6
6,e_mountainbike,1.6
7,herrenrad,1.4
7,damenrad,1.4
7,rennrad,1.4
7,mountainbike,1.6
7,e_bike,1.6
7,e_mountainbike,1.6
8,herrenrad,1.4
8,damenrad,1.4
8,rennrad,1.4
8,mountainbike,1.6
8,e_bike,1.6
8,e_mountainbike,1.6
9,herrenrad,1.3
9,damenrad,1.3
9,rennrad,1.3
9,mountainbike,1.4
9,e_bike,1.8
9,e_mountainbike,1.4
10,herrenrad,1.2
10,damenrad,1.2
10,rennrad,1.2
10,mountainbike,1.2
10,e_bike,1.8
10,e_mountainbike,1.2
11,herrenrad,1.0
11,damenrad,1.0
11,rennrad,1.0
11,mountainbike,0.9
11,e_bike,1.4
11,e_mountainbike,0.9
12,herrenrad,0.9
12,damenrad,0.9
12,rennrad,0.9
12,mountainbike,0.8
12,e_bike,1.2
12,e_mountainbike,0.8 